epoch,accuracy,learning_rate,loss,precision_1,recall_1,val_accuracy,val_loss,val_precision_1,val_recall_1
30,0.853481650352478,9.999999747378752e-06,0.3725602924823761,0.8686313629150391,0.8409090638160706,0.645348846912384,1.7672673463821411,0.6512096524238586,0.6259689927101135
31,0.8612185716629028,9.999999747378752e-06,0.3284001648426056,0.8737574815750122,0.8500967025756836,0.6492248177528381,1.722174048423767,0.6520874500274658,0.6356589198112488
32,0.8665376901626587,9.999999747378752e-06,0.33333253860473633,0.8727182745933533,0.8554158806800842,0.6550387740135193,1.702185034751892,0.6606786251068115,0.6414728760719299
33,0.8699226379394531,9.999999747378752e-06,0.33344584703445435,0.8829681277275085,0.8573501110076904,0.6589147448539734,1.6941146850585938,0.6626746654510498,0.643410861492157
34,0.8554158806800842,9.999999747378752e-06,0.36094674468040466,0.8687220215797424,0.8447775840759277,0.6569767594337463,1.6665711402893066,0.6666666865348816,0.6511628031730652
35,0.8795937895774841,9.999999747378752e-06,0.30573174357414246,0.8908188343048096,0.8679884076118469,0.6589147448539734,1.6485332250595093,0.6679841876029968,0.6550387740135193
36,0.8602514266967773,9.999999747378752e-06,0.3580004870891571,0.8707920908927917,0.8505802750587463,0.6647287011146545,1.6492271423339844,0.6800000071525574,0.6589147448539734
37,0.8646034598350525,9.999999747378752e-06,0.3284469544887543,0.8760577440261841,0.8510638475418091,0.6686046719551086,1.6502817869186401,0.6840000152587891,0.6627907156944275
38,0.8675048351287842,9.999999747378752e-06,0.337499737739563,0.884519636631012,0.8592843413352966,0.6686046719551086,1.6724355220794678,0.6827309131622314,0.6589147448539734
39,0.8684719800949097,4.999999873689376e-06,0.3162063658237457,0.8794642686843872,0.8573501110076904,0.6686046719551086,1.6778228282928467,0.6827309131622314,0.6589147448539734
40,0.8641199469566345,4.999999873689376e-06,0.34755808115005493,0.874070405960083,0.8525145053863525,0.6647287011146545,1.6787141561508179,0.6821862459182739,0.6531007885932922
41,0.8626692295074463,4.999999873689376e-06,0.33967873454093933,0.8754342198371887,0.8529980778694153,0.6647287011146545,1.6733108758926392,0.6807228922843933,0.6569767594337463
42,0.8689554929733276,2.499999936844688e-06,0.32290709018707275,0.8784722089767456,0.8563829660415649,0.6647287011146545,1.6820201873779297,0.6807228922843933,0.6569767594337463
43,0.8723404407501221,2.499999936844688e-06,0.300029993057251,0.8854734897613525,0.8636363744735718,0.6627907156944275,1.6908068656921387,0.6779999732971191,0.6569767594337463
44,0.8665376901626587,2.499999936844688e-06,0.32096627354621887,0.8746283650398254,0.853481650352478,0.6627907156944275,1.6953256130218506,0.679358720779419,0.6569767594337463
45,0.8791102766990662,1.249999968422344e-06,0.3100574016571045,0.8868017792701721,0.8675048351287842,0.6608527302742004,1.6993337869644165,0.6787148714065552,0.6550387740135193
